longitude,latitude,Z
51.91987865287727,4.480291922873443,0.592
51.919878877164635,4.480320991928985,0.628
51.919879101444806,4.480350060984861,0.653
51.919879325717794,4.480379130041072,9.77
51.919879549983584,4.480408199097618,14.564
51.91987977424219,4.480437268154498,12.57
51.9198799984936,4.480466337211712,19.698
51.919880222737824,4.48049540626926,15.321
51.91988044697486,4.480524475327143,12.467
51.9198806712047,4.48055354438536,19.652
51.91988089542736,4.480582613443913,18.318
51.919881119642824,4.480611682502798,13.618
51.9198813438511,4.480640751562019,19.454
51.91988156805219,4.480669820621573,19.821
51.91988179224609,4.480698889681462,16.64
51.919882016432794,4.480727958741685,17.263
51.91988224061232,4.480757027802243,20.018
51.91988246478464,4.480786096863135,20.148
51.919882688949784,4.480815165924361,20.177
51.919882913107735,4.480844234985921,20.323
51.919883137258495,4.480873304047816,12.832
51.919883361402064,4.480902373110045,18.432
51.91988358553845,4.480931442172608,17.897
51.91988380966764,4.480960511235505,19.272
51.91988403378964,4.480989580298736,17.051
51.91988425790446,4.481018649362302,21.885
51.91988448201208,4.481047718426202,27.766
51.91988470611251,4.481076787490436,27.811
51.919884930205754,4.481105856555004,27.856
51.91988515429181,4.481134925619907,28.298
51.91988537837068,4.481163994685144,27.93
51.919885602442356,4.481193063750714,27.993
51.91988582650684,4.481222132816619,28.023
51.91988605056414,4.481251201882857,28.076
51.91988627461424,4.481280270949431,28.124
51.91988649865716,4.481309340016338,28.163
51.91988672269289,4.481338409083579,28.199
51.91988694672143,4.481367478151154,20.452
51.919887170742776,4.481396547219063,20.467
51.91988739475694,4.481425616287306,20.502
51.91988761876391,4.481454685355884,20.545
51.91988784276369,4.481483754424795,20.715
51.91986067820377,4.480292285601839,0.61
51.91986090249101,4.480321354645755,0.635
51.91986112677107,4.480350423690006,0.65
51.919861351043934,4.480379492734592,11.478
51.91986157530961,4.480408561779512,17.09
51.919861799568096,4.480437630824767,16.599
51.91986202381939,4.480466699870355,20.436
51.9198622480635,4.480495768916279,15.969
51.919862472300416,4.480524837962537,20.186
51.919862696530146,4.480553907009129,20.156
51.919862920752685,4.480582976056056,19.657
51.91986314496803,4.480612045103316,20.145
51.9198633691762,4.480641114150911,20.141
51.919863593377166,4.480670183198841,20.151
51.91986381757095,4.4806992522471045,20.132
51.91986404175754,4.480728321295702,20.116
51.919864265936944,4.4807573903446345,20.104
51.919864490109155,4.480786459393902,20.099
51.919864714274176,4.480815528443502,20.151
51.91986493843201,4.480844597493437,20.177
51.91986516258265,4.480873666543706,18.849
51.91986538672611,4.48090273559431,14.874
51.919865610862374,4.480931804645248,7.608
51.91986583499145,4.480960873696521,17.075
51.91986605911334,4.480989942748127,14.797
51.91986628322803,4.4810190118000675,13.242
51.91986650733554,4.481048080852342,27.935
51.91986673143586,4.481077149904951,27.973
51.91986695552899,4.481106218957894,28.02
51.919867179614926,4.481135288011171,28.07
51.91986740369367,4.481164357064782,28.087
51.919867627765235,4.481193426118728,28.142
51.9198678518296,4.481222495173007,28.184
51.91986807588678,4.4812515642276205,28.636
51.91986829993677,4.4812806332825685,28.25
51.919868523979574,4.4813097023378505,28.288
51.91986874801519,4.4813387713934665,28.325
51.91986897204361,4.481367840449416,20.987
51.919869196064845,4.4813969095057,20.589
51.91986942007889,4.481425978562318,20.618
51.91986964408574,4.481455047619271,20.652
51.91986986808541,4.481484116676556,20.677
51.91987009207788,4.481513185734177,20.543
51.91987031606317,4.481542254792131,20.568
51.91987054004126,4.481571323850419,20.601
51.91987076401217,4.481600392909041,20.821
51.919870987975884,4.481629461967997,20.652
51.91987121193241,4.481658531027287,20.663
51.91987143588175,4.481687600086912,20.683
51.9198716598239,4.481716669146869,20.971
51.91987188375886,4.481745738207161,20.706
51.91987210768663,4.481774807267787,20.729
51.91987233160721,4.481803876328747,20.745
51.9198725555206,4.481832945390041,20.751
51.9198727794268,4.481862014451668,20.751
51.91987300332581,4.481891083513629,20.747
51.91987322721763,4.481920152575924,20.755
51.91987345110226,4.481949221638553,20.754
51.919873674979705,4.481978290701516,20.757
51.91987389884996,4.482007359764813,20.766
51.919874122713026,4.482036428828444,20.916
51.919874346568896,4.482065497892408,5.924
51.91987457041758,4.482094566956706,1.888
51.91987479425908,4.482123636021338,1.894
51.919875018093386,4.482152705086304,1.949
51.9198752419205,4.482181774151603,1.992
51.919875465740425,4.482210843217237,1.965
51.919875689553166,4.4822399122832035,1.929
51.91987591335871,4.482268981349504,1.925
51.91987613715707,4.482298050416139,2.582
51.91987636094824,4.482327119483107,7.473
51.919876584732215,4.482356188550408,8.101
51.91987680850901,4.482385257618044,8.098
51.919877032278606,4.482414326686014,8.094
51.91987725604102,4.482443395754316,8.114
51.91987747979624,4.482472464822953,8.097
51.919877703544266,4.482501533891924,8.701
51.919877927285114,4.482530602961227,1.961
51.919878151018764,4.482559672030865,2.102
51.919878374745224,4.482588741100836,1.964
51.9198785984645,4.48261781017114,1.928
51.919878822176585,4.482646879241779,1.925
51.91987904588148,4.4826759483127505,1.941
51.919879269579184,4.482705017384056,1.937
51.9198794932697,4.482734086455695,1.951
51.91987971695303,4.4827631555276675,1.964
51.919879940629166,4.482792224599974,1.951
51.91988016429811,4.482821293672614,1.91
51.919880387959864,4.4828503627455865,1.848
51.91988061161443,4.482879431818894,1.968
51.919880835261814,4.482908500892534,2.002
51.919881058902,4.4829375699665075,2.032
51.919881282535,4.482966639040814,2.05
51.91988150616081,4.482995708115455,2.061
51.91988172977943,4.483024777190429,2.124
51.91988195339086,4.4830538462657366,6.154
